BDU,VEDAS
BDU:2025-11067,0.2703098
BDU:2025-11066,0.1964253
BDU:2025-11065,0.1964213
BDU:2025-11064,0.1964051
BDU:2025-11063,0.1964172
BDU:2025-11062,0.4514085
BDU:2025-11061,0.451445
BDU:2025-11060,0.0710591
BDU:2025-11059,0.0710714
BDU:2025-11058,0.0709975
BDU:2025-11057,0.07437
BDU:2025-11056,0.0709975
BDU:2025-11055,0.0547886
BDU:2025-11054,0.0710683
BDU:2025-11053,0.4357706
BDU:2025-11052,0.4513629
BDU:2025-11051,0.4346117
BDU:2025-11050,0.4513629
BDU:2025-11049,0.4514227
BDU:2025-11048,0.0711822
BDU:2025-11047,0.0710406
BDU:2025-11046,0.0710222
BDU:2025-11045,0.0710098
BDU:2025-11044,0.0711638
BDU:2025-11043,0.0710406
BDU:2025-11042,0.0709975
BDU:2025-11041,0.0714039
BDU:2025-11040,0.0709975
BDU:2025-11039,0.0710499
BDU:2025-11038,0.0710406
BDU:2025-11037,0.0710098
BDU:2025-11036,0.0710437
BDU:2025-11035,0.7079777
BDU:2025-11034,0.072783
BDU:2025-11033,0.0710622
BDU:2025-11032,0.0710622
BDU:2025-11031,0.0710622
BDU:2025-11030,0.0710406
BDU:2025-11029,0.0710622
BDU:2025-11028,0.0710622
BDU:2025-11027,0.0710622
BDU:2025-11026,0.0711514
BDU:2025-11020,0.2284614
BDU:2025-11019,0.4425252
BDU:2025-11018,0.7072375
BDU:2025-11017,0.7087671
BDU:2025-11016,0.0713854
BDU:2025-11015,0.0709975
BDU:2025-11014,0.7438834
BDU:2025-11013,0.2290399
BDU:2025-11012,0.2305659
BDU:2025-11011,0.1844703
BDU:2025-11010,0.1859265
BDU:2025-11009,0.0710067
BDU:2025-11008,0.1859224
BDU:2025-11007,0.1861452
BDU:2025-11006,0.1859548
BDU:2025-11005,0.1859609
BDU:2025-11004,0.1859184
BDU:2025-11003,0.0710499
BDU:2025-11002,0.0710499
BDU:2025-11001,0.07137
BDU:2025-11000,0.1859194
BDU:2025-10999,0.707425
BDU:2025-10998,0.5065837
BDU:2025-10997,0.7086642
BDU:2025-10996,0.2320129
BDU:2025-10995,0.3431916
BDU:2025-10994,0.8054778
BDU:2025-10993,0.436675
BDU:2025-10992,0.1691218
BDU:2025-10991,0.1860217
BDU:2025-10990,0.1860591
BDU:2025-10989,0.1860217
BDU:2025-10988,0.1859397
BDU:2025-10987,0.6600764
